HTSUS CODE,DESCRIPTION,Duty,Which List?,Information,Additional HTSUS
8411.21.40,"Aircraft turbopropellers of a power not exceeding 1,100 kW",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.36
8411.21.80,"Turbopropellers of a power not exceeding 1,100 kW, other than aircraft",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.37
8411.22.40,"Aircraft turbopropellers of a power exceeding 1,100 kW",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.38
8411.22.80,"Turbopropellers of a power exceeding 1,100 kW, other than aircraft",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.39
8411.81.40,"Aircraft gas turbines other than turbojets or turbopropellers, of a power not exceeding 5,000 kW",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.40
8411.81.80 ,"Gas turbines other than turbojets or turbopropellers, of a power not exceeding 5,000 kW, other than aircraft",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.41
8411.82.40,"Aircraft gas turbines other than turbojets or turbopropellers, of a power exceeding 5,000 kW",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.42
8411.82.80,"Gas turbines, other than turbojets or turbopropellers of a power exceeding 5,000 kW, other than aircraft",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.43
8411.91.10,"Cast-iron parts of turbojets or turbopropellers machined only for removal of fins, gates, etc. or to permit location in machinery",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.44
8411.91.90,Parts of turbojets or turbopropellers other than those of subheading 8411.91.10,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.45
8411.99.10,"Cast-iron parts of gas turbines nesoi, not advanced beyond cleaning, and machined for removal of fins, gates, sprues and risers",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.46
