Item,Description,Supplier,Unit Cost,Annual Forecast,Base Raw Material,% Metal Content,"Type (Raw, Derivative, Industrial)",Foreign or US Material,Country of Origin,HTS CODE
5004027, Frame Metal-Mounted Walnut 16x16 ,Universal Arquati,$12.19,247,Wood,0,,,Indonesia,4421.99.98
5004030, Frame Metal-Mounted Walnut 12x36 ,Universal Arquati,$15.43,214,Wood,0,,,Indonesia,4421.99.98
5004028, Frame Metal-Mounted Walnut 12x12 ,Universal Arquati,$9.70,395,Wood,0,,,Indonesia,4421.99.98
5004025, Frame Metal-Mounted Walnut 10x14 ,Universal Arquati,$9.70,810,Wood,0,,,Indonesia,4421.99.98
5004015, Frame Metal-Mounted BK 8x10 ,Universal Arquati,$7.83,"1,210",Wood,0,,,Indonesia,4421.99.98
5004021, Frame Metal-Mounted BK 24x36 ,Universal Arquati,$17.52,660,Wood,0,,,Indonesia,4421.99.98
5004018, Frame Metal-Mounted BK 20x30 ,Universal Arquati,$15.65,569,Wood,0,,,Indonesia,4421.99.98
5004016, Frame Metal-Mounted BK 16x20 ,Universal Arquati,$12.18,"1,212",Wood,0,,,Indonesia,4421.99.98
5004019, Frame Metal-Mounted BK 16x16 ,Universal Arquati,$11.13,692,Wood,0,,,Indonesia,4421.99.98
5004022, Frame Metal-Mounted BK 12x36 ,Universal Arquati,$14.29,613,Wood,0,,,Indonesia,4421.99.98
5004020, Frame Metal-Mounted BK 12x12 ,Universal Arquati,$9.12,593,Wood,0,,,Indonesia,4421.99.98
5004017, Frame Metal-Mounted BK 10x14 ,Universal Arquati,$9.12,"1,424",Wood,0,,,Indonesia,4421.99.98
140-1541-00, Framed Art Print 8x10 Rustic ,Universal Arquati,$6.62,"1,173",Wood,0,,,Indonesia,4421.99.98
140-1513-00, Framed Art Print 8x10 BK N2110 ,Universal Arquati,$5.62,"4,188",Wood,0,,,Indonesia,4421.99.98
140-1539-00, Framed Art Print 5x7 Rustic ,Universal Arquati,$6.62,494,Wood,0,,,Indonesia,4421.99.98
140-1544-00, Framed Art Print 16x20 Rustic ,Universal Arquati,$11.24,912,Wood,0,,,Indonesia,4421.99.98
140-1516-00, Framed Art Print 16x20 BK N2110 ,Universal Arquati,$9.41,"2,845",Wood,0,,,Indonesia,4421.99.98
140-1542-00, Framed Art Print 12x12 Rustic ,Universal Arquati,$8.79,307,Wood,0,,,Indonesia,4421.99.98
140-1514-00, Framed Art Print 12x12 BK N2110 ,Universal Arquati,$6.97,"1,227",Wood,0,,,Indonesia,4421.99.98
140-1224-00, Bamboo Easel ,"IQ Accessories, Inc",$0.62,"88,294",Bamboo,0,,,China,9403.60.80
41-1157-01, Cutting Board Rectangle Bamboo 9999128 ,Mud Pie LLC,$8.60,"2,098",Wood,0,,,China,4419.11.00
81-1022-01, Cldr Easel Hard BK 108x575 w-Holes ,Bigger Printing Group LTD,$0.438,"175,173",1.5mm paper board with leatherette paper,0,,,China,4910.00.40
5002931, Canvas EXP Matte Roll 122in x 225yd ,"Aurora Specialty Textiles Group, Inc","$2,351.25",341,poly-cotton (35% cotton/65% poly),0,,,Pakistan,5514.19.10
140-1511-00, Framed Art Print 5x7 BK N2110 ,Universal Arquati,$4.84,"2,472",Wood,0,,,Indonesia,4421.99.98
